MasterSiteCode,LocalWellNumber,Date,MilitaryTime,NoMeasurement,QuestionableMeasurement,ReadingRP,ReadingWS,RPtoWS,RPElevation,GSElevation,WSElevation,GStoWS,MeasurementMethod,MeasurementAccuracy,CollectingCoopAgency,VoluntaryorCASGEM,Commentsh
360361N1201857W001,22S16E12A002,10/17/2019,07:00,9 - Temporarily inaccessible,,,,,762.33,754.09,,,,,Pleasant Valley Water District,CASGEM,
360361N1201857W001,22S16E12A002,4/9/2019,15:00,9 - Temporarily inaccessible,,,,,762.33,754.09,,,,,Pleasant Valley Water District,CASGEM,
360361N1201857W001,22S16E12A002,11/8/2018,09:42,,6 - Other,368.8,0,368.8,754.09,754.09,385.29,368.8,ES - Electric sounder measurement,0.1 Ft,Pleasant Valley Water District,CASGEM,Original well inaccessible. Used nearby well with RP at GS.
360361N1201857W001,22S16E12A002,4/12/2018,12:50,1 - Pumping,,,,,762.33,754.09,,,,,Pleasant Valley Water District,CASGEM,
360361N1201857W001,22S16E12A002,11/14/2017,00:00,3 - Tape hung up,,,,,762.33,754.09,,,,,Pleasant Valley Water District,CASGEM,
360361N1201857W001,22S16E12A002,3/17/2020,00:00,1 - Pumping,,,,,762.33,754.09,,,,,Pleasant Valley Water District,CASGEM,
360866N1202272W001,21S16E22G001,10/17/2019,22:17,,,446.24,181.73,264.51,627.97,626.27,363.46,262.81,TR - Electronic pressure transducer,0.01 Ft,Pleasant Valley Water District,CASGEM,
360866N1202272W001,21S16E22G001,4/9/2019,15:00,,1 - Pumping,646.07,0,646.07,627.97,626.27,-18.1,644.37,TR - Electronic pressure transducer,0.01 Ft,Pleasant Valley Water District,CASGEM,
360866N1202272W001,21S16E22G001,11/8/2018,14:47,,,398.92,0,398.92,627.97,626.27,229.05,397.22,TR - Electronic pressure transducer,0.01 Ft,Pleasant Valley Water District,CASGEM,
360866N1202272W001,21S16E22G001,4/12/2018,12:26,,,408.01,0,408.01,627.97,626.27,219.96,406.31,ES - Electric sounder measurement,0.01 Ft,Pleasant Valley Water District,CASGEM,No pump in well
360866N1202272W001,21S16E22G001,11/14/2017,00:00,1 - Pumping,,,,,627.97,626.27,,,,,Pleasant Valley Water District,CASGEM,
360866N1202272W001,21S16E22G001,3/17/2020,07:00,,,627.97,221.344,406.626,627.97,626.27,221.344,404.926,TR - Electronic pressure transducer,0.01 Ft,Pleasant Valley Water District,CASGEM,
361008N1202447W001,21S16E16K001,4/12/2018,12:06,,,429.45,0,429.45,599.71,598.69,170.26,428.43,ES - Electric sounder measurement,0.1 Ft,Pleasant Valley Water District,CASGEM,
361008N1202447W001,21S16E16K001,11/14/2017,00:00,,,599.71,165.16,434.55,599.71,598.69,165.16,433.53,ES - Electric sounder measurement,0.01 Ft,Pleasant Valley Water District,CASGEM,
361008N1202447W001,21S16E16K001,11/8/2018,10:50,,,481.9,0,481.9,599.71,598.69,117.81,480.88,ES - Electric sounder measurement,0.1 Ft,Pleasant Valley Water District,CASGEM,
361008N1202447W001,21S16E16K001,4/9/2019,15:00,9 - Temporarily inaccessible,,,,,599.71,598.69,,,,,Pleasant Valley Water District,CASGEM,
361008N1202447W001,21S16E16K001,10/17/2019,07:00,9 - Temporarily inaccessible,,,,,599.71,598.69,,,,,Pleasant Valley Water District,CASGEM,
361008N1202447W001,21S16E16K001,3/17/2020,00:00,1 - Pumping,,,,,599.71,598.69,,,,,Pleasant Valley Water District,CASGEM,
361078N1202988W001,21S15E12Q002M,12/12/2011,00:00,,9 - Acoustical sounder,378,0,378,647.1,647.1,269.1,378,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
361078N1202988W001,21S15E12Q002M,10/12/2020,15:30,,9 - Acoustical sounder,480,0,480,641.45,639.71,161.45,478.26,AS - Acoustic or sonic sounder,1 Ft,Department of Water Resources,Voluntary,
361078N1202988W001,21S15E12Q002M,3/18/2020,12:45,7 - Special/Other,,,,,641.45,639.71,,,,,Department of Water Resources,Voluntary,No access for sounder or tape.
361078N1202988W001,21S15E12Q002M,10/30/2019,22:26,,9 - Acoustical sounder,469.9,0,469.9,641.45,639.71,171.55,468.16,AS - Acoustic or sonic sounder,1 Ft,Department of Water Resources,Voluntary,
361078N1202988W001,21S15E12Q002M,3/26/2019,18:42,2 - Pump house locked,,,,,641.45,639.71,,,,,Department of Water Resources,Voluntary,Pump house locked.
361078N1202988W001,21S15E12Q002M,11/19/2018,19:46,,9 - Acoustical sounder,434.9,0,434.9,641.45,639.71,206.55,433.16,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,Need acoustic sounder to measure on south side of concrete pad.
