MasterSiteCode,LocalWellNumber,Date,MilitaryTime,NoMeasurement,QuestionableMeasurement,ReadingRP,ReadingWS,RPtoWS,RPElevation,GSElevation,WSElevation,GStoWS,MeasurementMethod,MeasurementAccuracy,CollectingCoopAgency,VoluntaryorCASGEM,Commentsh
344779N1192479W001,Furrow #1,11/5/2014,00:00,,,282,0,282,346,344,64,280,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/10/2014,00:00,,,274,0,274,346,344,72,272,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,Reading @ RP was same in January 2014 but was 277 in March
344779N1192479W001,Furrow #1,11/4/2015,00:00,,,296,0,296,346,344,50,294,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/4/2016,00:00,,,294,0,294,346,344,52,292,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,11/3/2016,00:00,,,302,0,302,346,344,44,300,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/8/2017,00:00,,,300,0,300,346,344,46,298,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,10/4/2017,00:00,,,299,0,299,346,344,47,297,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/6/2018,00:00,,,299,0,299,346,344,47,297,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,10/2/2018,00:00,,,338,0,338,346,344,8,336,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/1/2019,00:00,,,310,0,310,346,344,36,308,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,11/1/2019,00:00,,,306,0,306,346,344,40,304,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,3/11/2020,00:00,,,308,0,308,346,344,38,306,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,12/13/2011,11:44,,9 - Acoustical sounder,258,0,258,346,344,88,256,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,good reading
344779N1192479W001,Furrow #1,2/2/2012,00:00,,9 - Acoustical sounder,256,0,256,346,344,90,254,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,Spring 2012 Measurement
344779N1192479W001,Furrow #1,11/6/2012,00:00,,9 - Acoustical sounder,265,0,265,346,344,81,263,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/4/2013,00:00,,9 - Acoustical sounder,264,0,264,346,344,82,262,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,11/5/2013,00:00,,,274,0,274,346,344,72,272,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/6/2015,00:00,,,282,0,282,346,344,64,280,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,Same Reading for March 2015
348205N1182465W001,344914118144101,3/15/2011,00:00,,,176.6,0,176.6,2388,2388,2211.4,176.6,UNK - Unknown,Unknown,United States Geological Survey,CASGEM,
348205N1182465W001,344914118144101,3/22/2012,00:00,,,176,0,176,2388,2388,2212,176,UNK - Unknown,Unknown,United States Geological Survey,CASGEM,
348205N1182465W001,344914118144101,8/12/2020,13:11,,,177.53,0,177.53,2388,2388,2210.47,177.53,ES - Electric sounder measurement,0.01 Ft,United States Geological Survey,CASGEM,
348205N1182465W001,344914118144101,3/20/2013,00:00,,,176.05,0,176.05,2388,2388,2211.95,176.05,UNK - Unknown,Unknown,United States Geological Survey,CASGEM,
