MasterSiteCode,LocalWellNumber,Date,MilitaryTime,NoMeasurement,QuestionableMeasurement,ReadingRP,ReadingWS,RPtoWS,RPElevation,GSElevation,WSElevation,GStoWS,MeasurementMethod,MeasurementAccuracy,CollectingCoopAgency,VoluntaryorCASGEM,Commentsh
374449N1207716W001,TID 102,3/26/2009,00:00,,,52.3,0,52.3,113.92,113.92,61.62,52.3,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,11/17/2009,00:00,,,52.1,0,52.1,113.92,113.92,61.82,52.1,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,3/9/2010,00:00,,,40.9,0,40.9,113.92,113.92,73.02,40.9,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,11/15/2010,00:00,,,43.6,0,43.6,113.92,113.92,70.32,43.6,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,3/16/2011,00:00,,,43.1,0,43.1,113.92,113.92,70.82,43.1,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,10/15/2014,12:00,,,69.8,0,69.8,113.92,113.92,44.12,69.8,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,3/20/2012,12:00,,,50.1,0,50.1,113.92,113.92,63.82,50.1,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,11/7/2012,12:00,,,57.4,0,57.4,113.92,113.92,56.52,57.4,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,3/20/2013,12:00,,,55.9,0,55.9,113.92,113.92,58.02,55.9,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,11/18/2013,04:00,,,65.2,0,65.2,113.92,113.92,48.72,65.2,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,3/18/2014,12:00,,,58.3,0,58.3,113.92,113.92,55.62,58.3,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,11/17/2011,00:00,,,50.7,0,50.7,113.92,113.92,63.22,50.7,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374449N1207716W001,TID 102,11/5/2014,13:45,,,64.85,0,64.85,114.84,113.92,49.99,63.93,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,11/17/2020,16:19,,,67.15,0,67.15,114.84,113.92,47.69,66.23,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,3/4/2020,16:09,,,70.19,0,70.19,114.84,113.92,44.65,69.27,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,11/19/2019,13:48,,,63.83,0,63.83,114.84,113.92,51.01,62.91,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,3/12/2019,14:48,,,54.68,0,54.68,114.84,113.92,60.16,53.76,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,11/26/2018,15:46,,,62.59,0,62.59,114.84,113.92,52.25,61.67,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,3/13/2018,08:30,,,60.58,0,60.58,114.84,113.92,54.26,59.66,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,10/16/2017,01:45,,,68.33,0,68.33,114.84,113.92,46.51,67.41,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,3/16/2017,10:10,,,61.49,0,61.49,114.84,113.92,53.35,60.57,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,10/12/2016,09:30,,,75.74,0,75.74,114.84,113.92,39.1,74.82,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,3/1/2016,08:00,,,60.16,0,60.16,114.84,113.92,54.68,59.24,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,10/12/2015,08:00,,,84.1,0,84.1,114.84,113.92,30.74,83.18,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,
374449N1207716W001,TID 102,3/12/2015,11:40,,,73.3,0,73.3,114.84,113.92,41.54,72.38,ES - Electric sounder measurement,0.01 Ft,Turlock Groundwater Basin Association,CASGEM,0
374707N1207991W001,TID 108B,11/17/2009,00:00,,,13.4,0,13.4,114.31,114.31,100.91,13.4,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374707N1207991W001,TID 108B,3/9/2010,00:00,,,12.9,0,12.9,114.31,114.31,101.41,12.9,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374707N1207991W001,TID 108B,11/15/2010,00:00,,,14.7,0,14.7,114.31,114.31,99.61,14.7,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374707N1207991W001,TID 108B,3/16/2011,00:00,,,12.3,0,12.3,114.31,114.31,102.01,12.3,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
374707N1207991W001,TID 108B,11/17/2011,00:00,,,13,0,13,114.31,114.31,101.31,13,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
