MasterSiteCode,LocalWellNumber,Date,MilitaryTime,NoMeasurement,QuestionableMeasurement,ReadingRP,ReadingWS,RPtoWS,RPElevation,GSElevation,WSElevation,GStoWS,MeasurementMethod,MeasurementAccuracy,CollectingCoopAgency,VoluntaryorCASGEM,Commentsh
358658N1191081W001,24S26E1R1M,1/15/2009,00:00,,9 - Acoustical sounder,281,0,281,471.2,470.7,190.2,280.5,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/26/2009,00:00,,9 - Acoustical sounder,298,0,298,471.2,470.7,173.2,297.5,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/17/2017,20:29,,9 - Acoustical sounder,273,0,273,471.2,470.7,198.2,272.5,UNK - Unknown,0.1 Ft,Kern-Tulare Water District,Voluntary,
358658N1191081W001,24S26E1R1M,10/5/2020,20:12,,,281.2,1,280.2,466.61,466.61,186.41,280.2,ST - Steel tape measurement,1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,3/12/2020,19:14,,,261.2,0,261.2,466.61,466.61,205.41,261.2,ES - Electric sounder measurement,1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/1/2019,03:14,,9 - Acoustical sounder,290,0,290,466.61,466.61,176.61,290,AS - Acoustic or sonic sounder,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,3/4/2019,21:31,,9 - Acoustical sounder,259.7,0,259.7,466.61,466.61,206.91,259.7,AS - Acoustic or sonic sounder,0.1 Ft,Department of Water Resources,Voluntary,0
358658N1191081W001,24S26E1R1M,10/1/2018,18:33,,9 - Acoustical sounder,275,0,275,471.2,470.7,196.2,274.5,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,3/5/2018,12:00,6 - Well has been destroyed,,,,,471.2,470.7,,,,,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,3/13/2017,12:00,,9 - Acoustical sounder,257,0,257,471.2,470.7,214.2,256.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,3/8/2016,12:00,,,266.1,0,266.1,471.2,470.7,205.1,265.6,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/5/2015,12:00,,9 - Acoustical sounder,300,0,300,471.2,470.7,171.2,299.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,3/2/2015,11:00,,,278.1,0,278.1,471.2,470.7,193.1,277.6,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,9/29/2014,12:00,,9 - Acoustical sounder,353,0,353,471.2,470.7,118.2,352.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,1/13/2014,12:00,,9 - Acoustical sounder,321,0,321,471.2,470.7,150.2,320.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/7/2013,12:00,,9 - Acoustical sounder,349,0,349,471.2,470.7,122.2,348.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,1/15/2013,12:00,,9 - Acoustical sounder,310,0,310,471.2,470.7,161.2,309.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/8/2012,00:00,,9 - Acoustical sounder,327,0,327,471.2,470.7,144.2,326.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,1/24/2012,12:00,,9 - Acoustical sounder,294,0,294,471.2,470.7,177.2,293.5,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/17/2011,00:00,,9 - Acoustical sounder,299,0,299,471.2,470.7,172.2,298.5,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,1/11/2010,00:00,,9 - Acoustical sounder,283,0,283,471.2,470.7,188.2,282.5,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/25/2010,00:00,,9 - Acoustical sounder,301,0,301,471.2,470.7,170.2,300.5,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,1/10/2011,00:00,,9 - Acoustical sounder,277,0,277,471.2,470.7,194.2,276.5,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358658N1191081W001,24S26E1R1M,10/15/2018,10:02,,9 - Acoustical sounder,271.3,0,271.3,466.61,466.61,195.31,271.3,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,9/17/2020,08:42,,9 - Acoustical sounder,279.4,0,279.4,466.61,466.61,187.21,279.4,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,3/15/2018,09:21,,9 - Acoustical sounder,259.6,0,259.6,466.61,466.61,207.01,259.6,UNK - Unknown,0.1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,10/4/2017,10:50,,9 - Acoustical sounder,368.9,0,368.9,466.61,466.61,97.71,368.9,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,9/18/2017,10:10,,9 - Acoustical sounder,270.4,0,270.4,466.61,466.61,196.21,270.4,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,3/15/2017,10:00,,9 - Acoustical sounder,256.4,0,256.4,466.61,466.61,210.21,256.4,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,All elevations are now inputted at 2 decimal places for consistency.
358658N1191081W001,24S26E1R1M,10/6/2016,09:51,,9 - Acoustical sounder,283.2,0,283.2,466.61,466.61,183.41,283.2,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,4/1/2016,00:00,,9 - Acoustical sounder,269.6,0,269.6,466.61,466.61,197.01,269.6,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,Voluntary,
358658N1191081W001,24S26E1R1M,10/15/2015,09:56,,9 - Acoustical sounder,294.3,0,294.3,466.61,466.61,172.31,294.3,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,Voluntary,
358658N1191081W001,24S26E1R1M,9/9/2015,09:32,,9 - Acoustical sounder,311.3,0,311.3,466.61,466.61,155.31,311.3,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,Voluntary,
358658N1191081W001,24S26E1R1M,3/17/2015,01:30,,9 - Acoustical sounder,290.9,0,290.9,486.61,466.61,195.71,270.9,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,10/15/2014,00:00,7 - Special/Other,,,,,486.61,466.61,,,,,Kern-Tulare Water District,CASGEM,Pipe full of sand
358658N1191081W001,24S26E1R1M,3/31/2014,10:20,,9 - Acoustical sounder,358.2,0,358.2,486.61,466.61,128.41,338.2,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,10/28/2013,11:40,,9 - Acoustical sounder,367.5,0,367.5,486.61,466.61,119.11,347.5,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,10/17/2012,00:00,,9 - Acoustical sounder,346.4,0,346.4,486.61,466.61,140.21,326.4,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,2/19/2020,10:45,,9 - Acoustical sounder,258.1,0,258.1,466.61,466.61,208.51,258.1,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
358658N1191081W001,24S26E1R1M,10/2/2019,00:00,,9 - Acoustical sounder,270.8,0,270.8,466.61,466.61,195.81,270.8,AS - Acoustic or sonic sounder,1 Ft,Kern-Tulare Water District,CASGEM,
